GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-client,com.nttdata.bootcamp.msclient.model,Loan,100,0,0,0,13,0,21,0,21,0
ms-client,com.nttdata.bootcamp.msclient.model,Client,228,0,14,0,37,0,35,0,28,0
ms-client,com.nttdata.bootcamp.msclient.model,Credit,108,0,0,0,13,0,20,0,20,0
ms-client,com.nttdata.bootcamp.msclient.model,Loan.LoanBuilder,90,0,0,0,1,0,12,0,12,0
ms-client,com.nttdata.bootcamp.msclient.model,Credit.CreditBuilder,81,0,0,0,1,0,11,0,11,0
ms-client,com.nttdata.bootcamp.msclient.controller,ClientController,151,7,0,0,18,2,15,2,15,2
ms-client,com.nttdata.bootcamp.msclient.application,ClientServiceImpl,256,7,6,0,49,2,19,2,16,2
ms-client,com.nttdata.bootcamp.msclient.infrastructure,CreditRepository,61,7,0,0,11,2,6,2,6,2
ms-client,com.nttdata.bootcamp.msclient.infrastructure,LoanRepository,61,7,0,0,13,2,6,2,6,2
ms-client,com.nttdata.bootcamp.msclient.dto,ErrorDetail,36,0,0,0,10,0,8,0,8,0
ms-client,com.nttdata.bootcamp.msclient.dto,SummaryProductsDto.SummaryProductsDtoBuilder,36,0,0,0,1,0,6,0,6,0
ms-client,com.nttdata.bootcamp.msclient.dto,SummaryProductsDto,62,0,0,0,15,0,11,0,11,0
ms-client,com.nttdata.bootcamp.msclient.exception,GlobalExceptionHandler,118,7,0,0,18,2,10,2,10,2
ms-client,com.nttdata.bootcamp.msclient.exception,ResourceNotFoundException,62,0,0,0,13,0,9,0,9,0
ms-client,com.nttdata.bootcamp.msclient.exception,BlogAppException,26,0,0,0,8,0,6,0,6,0
ms-client,com.nttdata.bootcamp.msclient,MsClientApplication,5,3,0,0,2,1,1,1,1,1
ms-client,com.nttdata.bootcamp.msclient.config,WebClientConfig,146,0,24,0,10,0,24,0,12,0
ms-client,com.nttdata.bootcamp.msclient.util,Constants,3,0,0,0,1,0,1,0,1,0
